instance,city,n,m,build_time,solve_time,total_time,objective,mip_gap,n_sps_opened,node_count,status
Linz_10%,Linz,238,65,9.632957696914673,4.136097192764282,13.769058465957642,5555980.62278574,0.0,9,0.0,2
Graz_10%,Graz,448,145,10.262202739715576,2.9058992862701416,13.168105125427246,1455395.3516818732,0.0,17,0.0,2
Linz_20%,Linz,477,131,10.92812705039978,12.44970440864563,23.377833366394043,2637183.319993482,0.0,27,0.0,2
Linz_30%,Linz,715,197,19.338022232055664,28.73132348060608,48.06934714317322,6747164.173556373,0.0,58,0.0,2
Graz_20%,Graz,897,291,19.7650043964386,26.909695148468018,46.67470121383667,1472246.8018249494,0.0,60,0.0,2
Linz_50%,Linz,1192,329,14.575110673904419,78.84630465507507,93.42141699790955,9905723.0247349,0.0,149,0.0,2
Graz_30%,Graz,1345,437,19.3109290599823,74.35145354270935,93.66238403320312,4471993.334749532,0.0,138,0.0,2
Vienna_10%,Vienna,1360,426,23.694968223571777,12.575547218322754,36.270517110824585,9819832.719493812,0.0,42,0.0,2
Linz_70%,Linz,1669,460,20.62380313873291,188.91380715370178,209.53761219978333,9071931.394933881,0.0,312,0.0,2
Graz_50%,Graz,2242,729,29.466153144836426,185.45143699645996,214.91759181022644,5629569.330882159,0.0,359,0.0,2
Linz_100%,Linz,2385,658,22.477570056915283,369.20850944519043,391.6860818862915,786721.4865022241,0.0,552,0.0,2
Vienna_20%,Vienna,2720,852,28.73493456840515,85.07893657684326,113.81387186050415,9052844.538268762,0.0,158,0.0,2
Graz_70%,Graz,3139,1021,36.84552812576294,392.6742434501648,429.5197730064392,8322102.688066554,0.0,662,0.0,2
Vienna_30%,Vienna,4080,1278,62.16217350959778,168.39114379882812,230.55331945419312,800713.367884485,0.0,393,0.0,2
Graz_100%,Graz,4485,1459,70.09392833709717,753.062269449234,823.1561996936798,2164127.4349079165,0.0,1123,0.0,2
Vienna_50%,Vienna,6800,2130,123.5451672077179,570.7126824855804,694.257853269577,7576322.529701423,0.0,1050,0.0,2
Vienna_70%,Vienna,9520,2982,220.88877153396606,1093.6033008098602,1314.492074728012,4840003.573629246,0.0,1917,0.0,2
Vienna_100%,Vienna,13600,4260,56765.63404369354,2306.974805355072,59072.60885334015,3112076.6194625893,0.0,3321,0.0,2
