instance,city,n,m,build_time,solve_time,total_time,objective,mip_gap,n_sps_opened,node_count,status
Linz_10%,Linz,238,65,4.853508710861206,0.4469177722930908,5.300428867340088,9396933.843718067,0.0,3,0.0,2
Graz_10%,Graz,448,145,10.448511123657227,4.605293035507202,15.05380654335022,5621803.200301957,0.0,18,0.0,2
Linz_20%,Linz,477,131,11.367356538772583,7.930694818496704,19.298052549362183,3067874.5971671483,0.0,23,0.0,2
Linz_30%,Linz,715,197,12.98729658126831,36.7025785446167,49.689876317977905,7807245.9892667085,0.0,65,0.0,2
Graz_20%,Graz,897,291,21.88073968887329,38.461485147476196,60.34222674369812,3703808.29540459,0.0,67,0.0,2
Linz_50%,Linz,1192,329,25.112262725830078,86.5158863067627,111.6281509399414,2417420.26518725,0.0,171,0.0,2
Graz_30%,Graz,1345,437,18.65634274482727,61.41107225418091,80.06741619110107,1014177.6133886966,0.0,142,0.0,2
Vienna_10%,Vienna,1360,426,16.106769800186157,12.596134662628174,28.70290732383728,6876147.463367399,0.0,49,0.0,2
Linz_70%,Linz,1669,460,20.226261138916016,186.2540099620819,206.4802737236023,9525746.37660339,0.0,313,0.0,2
Graz_50%,Graz,2242,729,33.5636146068573,229.11626744270325,262.6798839569092,6733100.578074754,0.0,357,0.0,2
Linz_100%,Linz,2385,658,40.419703245162964,490.7305488586426,531.150253534317,5460424.8809051225,0.0,542,0.0,2
Vienna_20%,Vienna,2720,852,14.779072284698486,29.061400651931763,43.840473651885986,615532.2419095237,0.0,167,0.0,2
Graz_70%,Graz,3139,1021,17.612384557724,164.14356517791748,181.75595092773438,5915438.091739517,0.0,646,0.0,2
Vienna_30%,Vienna,4080,1278,24.62932062149048,82.18943905830383,106.81876015663147,2858881.5391649823,0.0,377,0.0,2
Graz_100%,Graz,4485,1459,31.414459705352783,392.01632738113403,423.43078899383545,4907648.887706152,0.0,1111,0.0,2
Vienna_50%,Vienna,6800,2130,68.27126169204712,304.297070980072,372.56833386421204,5875509.120079935,0.0,1013,0.0,2
Vienna_70%,Vienna,9520,2982,137.32062411308289,679.9074878692627,817.2281138896942,801526.4478366937,0.0,1939,0.0,2
Vienna_100%,Vienna,13600,4260,300.3589491844177,1487.1476702690125,1787.506621837616,5584034.70406237,0.0,3310,0.0,2
